file_path: experiment/datasets/fjsp.barnes.mt10c1.m11j10c2.txt
Total time: 3021
Total time: 1334
Total time: 1315
Total time: 1305
Total time: 1300
Total time: 1300
Total time: 1300
Total time: 1277
Total time: 1277
Total time: 1241
Total time: 1241
Total time: 1237
Total time: 1225
Total time: 1225
Total time: 1219
Total time: 1215
Total time: 1211
Total time: 1208
Total time: 1208
Total time: 1195
Total time: 1195
Total time: 1195
Total time: 1195
Total time: 1189
Total time: 1187
Total time: 1187
Total time: 1187
Total time: 1187
Total time: 1187
Total time: 1187
Total time: 1187
Total time: 1187
Total time: 1187
Total time: 1186
Total time: 1160
Total time: 1160
Total time: 1160
Total time: 1148
Total time: 1147
Total time: 1120
Total time: 1101
Total time: 1101
Total time: 1096
Total time: 1096
Total time: 1096
Total time: 1096
Total time: 1095
Total time: 1095
Total time: 1095
Total time: 1095
Total time: 1095
Total time: 1095
Total time: 1095
Total time: 1095
Total time: 1095
Total time: 1095
Total time: 1095
Total time: 1095
Total time: 1095
Total time: 1095
Total time: 1095
Total time: 1095
Total time: 1095
Total time: 1095
Total time: 1095
Total time: 1095
Total time: 1095
Total time: 1095
Time cost: 2257s

