file_path: experiment/datasets/fjsp.barnes.mt10cc.m12j10c2.txt
Total time: 3021
Total time: 1414
Total time: 1356
Total time: 1303
Total time: 1262
Total time: 1262
Total time: 1197
Total time: 1151
Total time: 1151
Total time: 1132
Total time: 1132
Total time: 1124
Total time: 1117
Total time: 1117
Total time: 1100
Total time: 1070
Total time: 1067
Total time: 1067
Total time: 1067
Total time: 1067
Total time: 1067
Total time: 1067
Total time: 1067
Total time: 1067
Total time: 1067
Total time: 1067
Total time: 1067
Total time: 1067
Total time: 1067
Total time: 1067
Total time: 1067
Total time: 1067
Total time: 1067
Total time: 1067
Total time: 1067
Total time: 1067
Total time: 1067
Total time: 1067
Time cost: 1314s

