file_path: experiment/datasets/fjsp.barnes.mt10x.m11j10c2.txt
Total time: 2923
Total time: 1253
Total time: 1159
Total time: 1118
Total time: 1084
Total time: 1084
Total time: 1084
Total time: 1070
Total time: 1070
Total time: 1055
Total time: 1055
Total time: 1039
Total time: 1033
Total time: 1033
Total time: 1013
Total time: 1001
Total time: 1000
Total time: 989
Total time: 989
Total time: 987
Total time: 987
Total time: 987
Total time: 987
Total time: 987
Total time: 987
Total time: 987
Total time: 987
Total time: 987
Total time: 987
Total time: 987
Total time: 987
Total time: 987
Total time: 987
Total time: 987
Total time: 987
Total time: 987
Total time: 987
Total time: 987
Total time: 987
Total time: 987
Total time: 987
Time cost: 1356s

