file_path: experiment/datasets/fjsp.barnes.mt10xxx.m13j10c4.txt
Total time: 2923
Total time: 1293
Total time: 1268
Total time: 1252
Total time: 1191
Total time: 1191
Total time: 1191
Total time: 1181
Total time: 1181
Total time: 1178
Total time: 1178
Total time: 1165
Total time: 1163
Total time: 1163
Total time: 1152
Total time: 1133
Total time: 1119
Total time: 1105
Total time: 1105
Total time: 1097
Total time: 1097
Total time: 1097
Total time: 1097
Total time: 1091
Total time: 1088
Total time: 1088
Total time: 1088
Total time: 1088
Total time: 1078
Total time: 1062
Total time: 1062
Total time: 1062
Total time: 1062
Total time: 1062
Total time: 1062
Total time: 1062
Total time: 1062
Total time: 1062
Total time: 1062
Total time: 1062
Total time: 1062
Total time: 1062
Total time: 1062
Total time: 1062
Total time: 1062
Total time: 1062
Total time: 1062
Total time: 1062
Total time: 1062
Total time: 1062
Total time: 1062
Time cost: 1709s

