file_path: experiment/datasets/fjsp.barnes.mt10xy.m12j10c2.txt
Total time: 2885
Total time: 1335
Total time: 1267
Total time: 1229
Total time: 1202
Total time: 1202
Total time: 1202
Total time: 1192
Total time: 1192
Total time: 1163
Total time: 1163
Total time: 1138
Total time: 1100
Total time: 1100
Total time: 1088
Total time: 1082
Total time: 1074
Total time: 1067
Total time: 1067
Total time: 1044
Total time: 1044
Total time: 1044
Total time: 1044
Total time: 1044
Total time: 1044
Total time: 1044
Total time: 1044
Total time: 1044
Total time: 1044
Total time: 1044
Total time: 1044
Total time: 1044
Total time: 1044
Total time: 1044
Total time: 1044
Total time: 1044
Total time: 1044
Total time: 1044
Total time: 1044
Total time: 1044
Total time: 1044
Time cost: 1417s

