file_path: experiment/datasets/fjsp.barnes.setb4c9.m11j15c2.txt
Total time: 6186
Total time: 1429
Total time: 1391
Total time: 1365
Total time: 1321
Total time: 1284
Total time: 1271
Total time: 1271
Total time: 1271
Total time: 1271
Total time: 1271
Total time: 1257
Total time: 1245
Total time: 1245
Total time: 1245
Total time: 1245
Total time: 1227
Total time: 1227
Total time: 1227
Total time: 1215
Total time: 1215
Total time: 1205
Total time: 1205
Total time: 1205
Total time: 1201
Total time: 1201
Total time: 1192
Total time: 1192
Total time: 1168
Total time: 1162
Total time: 1158
Total time: 1158
Total time: 1156
Total time: 1156
Total time: 1156
Total time: 1156
Total time: 1154
Total time: 1154
Total time: 1146
Total time: 1142
Total time: 1142
Total time: 1142
Total time: 1142
Total time: 1142
Total time: 1142
Total time: 1141
Total time: 1135
Total time: 1135
Total time: 1130
Total time: 1130
Total time: 1130
Total time: 1129
Total time: 1129
Total time: 1128
Total time: 1128
Total time: 1128
Total time: 1128
Total time: 1128
Total time: 1128
Total time: 1128
Total time: 1128
Total time: 1128
Total time: 1128
Total time: 1128
Total time: 1128
Total time: 1128
Total time: 1128
Total time: 1128
Total time: 1128
Total time: 1128
Total time: 1128
Total time: 1128
Total time: 1128
Total time: 1128
Total time: 1128
Time cost: 5517s

