file_path: experiment/datasets/fjsp.barnes.setb4cc.m12j15c2.txt
Total time: 6084
Total time: 1424
Total time: 1376
Total time: 1376
Total time: 1330
Total time: 1319
Total time: 1313
Total time: 1313
Total time: 1313
Total time: 1313
Total time: 1313
Total time: 1293
Total time: 1290
Total time: 1290
Total time: 1290
Total time: 1271
Total time: 1210
Total time: 1210
Total time: 1210
Total time: 1152
Total time: 1152
Total time: 1142
Total time: 1142
Total time: 1142
Total time: 1129
Total time: 1129
Total time: 1114
Total time: 1114
Total time: 1106
Total time: 1096
Total time: 1058
Total time: 1058
Total time: 1055
Total time: 1055
Total time: 1055
Total time: 1055
Total time: 1050
Total time: 1050
Total time: 1048
Total time: 1047
Total time: 1047
Total time: 1047
Total time: 1047
Total time: 1047
Total time: 1047
Total time: 1046
Total time: 1041
Total time: 1041
Total time: 1035
Total time: 1035
Total time: 1035
Total time: 1032
Total time: 1032
Total time: 1030
Total time: 1022
Total time: 1021
Total time: 1020
Total time: 1019
Total time: 1019
Total time: 1017
Total time: 1017
Total time: 1017
Total time: 1017
Total time: 1017
Total time: 1017
Total time: 1017
Total time: 1017
Total time: 1017
Total time: 1017
Total time: 1017
Total time: 1017
Total time: 1017
Total time: 1017
Total time: 1017
Total time: 1017
Total time: 1017
Total time: 1017
Total time: 1017
Total time: 1017
Total time: 1017
Total time: 1017
Time cost: 7279s

