file_path: experiment/datasets/fjsp.barnes.setb4xx.m12j15c3.txt
Total time: 5993
Total time: 1330
Total time: 1284
Total time: 1284
Total time: 1245
Total time: 1232
Total time: 1210
Total time: 1210
Total time: 1210
Total time: 1210
Total time: 1210
Total time: 1200
Total time: 1185
Total time: 1185
Total time: 1185
Total time: 1185
Total time: 1168
Total time: 1168
Total time: 1168
Total time: 1162
Total time: 1162
Total time: 1161
Total time: 1161
Total time: 1161
Total time: 1149
Total time: 1149
Total time: 1136
Total time: 1136
Total time: 1131
Total time: 1129
Total time: 1121
Total time: 1121
Total time: 1120
Total time: 1120
Total time: 1120
Total time: 1120
Total time: 1118
Total time: 1118
Total time: 1118
Total time: 1118
Total time: 1118
Total time: 1118
Total time: 1118
Total time: 1118
Total time: 1118
Total time: 1118
Total time: 1118
Total time: 1118
Total time: 1118
Total time: 1118
Total time: 1118
Total time: 1118
Total time: 1118
Total time: 1118
Total time: 1118
Total time: 1118
Total time: 1118
Total time: 1118
Time cost: 4246s

