file_path: experiment/datasets/fjsp.barnes.setb4xxx.m13j15c4.txt
Total time: 5993
Total time: 1331
Total time: 1275
Total time: 1275
Total time: 1250
Total time: 1229
Total time: 1227
Total time: 1227
Total time: 1227
Total time: 1227
Total time: 1227
Total time: 1221
Total time: 1220
Total time: 1220
Total time: 1220
Total time: 1220
Total time: 1206
Total time: 1206
Total time: 1206
Total time: 1199
Total time: 1199
Total time: 1186
Total time: 1186
Total time: 1186
Total time: 1177
Total time: 1177
Total time: 1174
Total time: 1174
Total time: 1165
Total time: 1160
Total time: 1159
Total time: 1159
Total time: 1146
Total time: 1146
Total time: 1146
Total time: 1146
Total time: 1132
Total time: 1132
Total time: 1094
Total time: 1094
Total time: 1094
Total time: 1094
Total time: 1094
Total time: 1094
Total time: 1094
Total time: 1094
Total time: 1094
Total time: 1094
Total time: 1094
Total time: 1094
Total time: 1094
Total time: 1094
Total time: 1094
Total time: 1094
Total time: 1094
Total time: 1094
Total time: 1094
Total time: 1094
Total time: 1094
Total time: 1094
Time cost: 4476s

