file_path: experiment/datasets/fjsp.barnes.setb4xy.m12j15c2.txt
Total time: 5884
Total time: 1406
Total time: 1333
Total time: 1333
Total time: 1267
Total time: 1251
Total time: 1238
Total time: 1238
Total time: 1238
Total time: 1238
Total time: 1238
Total time: 1227
Total time: 1217
Total time: 1217
Total time: 1217
Total time: 1217
Total time: 1206
Total time: 1206
Total time: 1206
Total time: 1198
Total time: 1198
Total time: 1190
Total time: 1190
Total time: 1190
Total time: 1167
Total time: 1167
Total time: 1167
Total time: 1167
Total time: 1167
Total time: 1167
Total time: 1167
Total time: 1167
Total time: 1167
Total time: 1167
Total time: 1167
Total time: 1167
Total time: 1167
Total time: 1167
Total time: 1167
Total time: 1167
Total time: 1167
Total time: 1167
Total time: 1167
Total time: 1167
Total time: 1167
Total time: 1167
Time cost: 3872s

