file_path: experiment/datasets/fjsp.barnes.setb4xyz.m13j15c2.txt
Total time: 5445
Total time: 1372
Total time: 1365
Total time: 1365
Total time: 1337
Total time: 1313
Total time: 1285
Total time: 1285
Total time: 1285
Total time: 1285
Total time: 1285
Total time: 1269
Total time: 1254
Total time: 1254
Total time: 1254
Total time: 1254
Total time: 1234
Total time: 1234
Total time: 1234
Total time: 1226
Total time: 1226
Total time: 1193
Total time: 1193
Total time: 1193
Total time: 1190
Total time: 1190
Total time: 1177
Total time: 1177
Total time: 1175
Total time: 1149
Total time: 1149
Total time: 1149
Total time: 1149
Total time: 1149
Total time: 1149
Total time: 1149
Total time: 1149
Total time: 1149
Total time: 1149
Total time: 1149
Total time: 1149
Total time: 1149
Total time: 1149
Total time: 1149
Total time: 1149
Total time: 1149
Total time: 1149
Total time: 1149
Total time: 1149
Total time: 1149
Total time: 1149
Time cost: 3932s

