file_path: experiment/datasets/fjsp.barnes.seti5c12.m16j15c2.txt
Total time: 9220
Total time: 1994
Total time: 1948
Total time: 1926
Total time: 1896
Total time: 1888
Total time: 1880
Total time: 1845
Total time: 1813
Total time: 1813
Total time: 1749
Total time: 1749
Total time: 1721
Total time: 1703
Total time: 1651
Total time: 1651
Total time: 1651
Total time: 1645
Total time: 1636
Total time: 1636
Total time: 1636
Total time: 1633
Total time: 1619
Total time: 1619
Total time: 1619
Total time: 1619
Total time: 1619
Total time: 1599
Total time: 1585
Total time: 1576
Total time: 1570
Total time: 1570
Total time: 1569
Total time: 1553
Total time: 1553
Total time: 1553
Total time: 1553
Total time: 1553
Total time: 1553
Total time: 1553
Total time: 1553
Total time: 1553
Total time: 1553
Total time: 1553
Total time: 1553
Total time: 1553
Total time: 1553
Total time: 1553
Total time: 1553
Total time: 1553
Total time: 1553
Total time: 1553
Total time: 1553
Total time: 1553
Total time: 1553
Time cost: 10621s

