file_path: experiment/datasets/fjsp.barnes.seti5cc.m17j15c2.txt
Total time: 9220
Total time: 1748
Total time: 1728
Total time: 1728
Total time: 1716
Total time: 1707
Total time: 1707
Total time: 1706
Total time: 1706
Total time: 1706
Total time: 1698
Total time: 1698
Total time: 1694
Total time: 1688
Total time: 1667
Total time: 1667
Total time: 1667
Total time: 1662
Total time: 1643
Total time: 1643
Total time: 1643
Total time: 1634
Total time: 1634
Total time: 1634
Total time: 1634
Total time: 1634
Total time: 1634
Total time: 1634
Total time: 1634
Total time: 1634
Total time: 1634
Total time: 1634
Total time: 1634
Total time: 1634
Total time: 1634
Total time: 1634
Total time: 1634
Total time: 1634
Total time: 1634
Total time: 1634
Total time: 1634
Total time: 1634
Total time: 1634
Time cost: 8051s

