file_path: experiment/datasets/fjsp.barnes.seti5x.m16j15c2.txt
Total time: 9237
Total time: 1954
Total time: 1900
Total time: 1836
Total time: 1775
Total time: 1730
Total time: 1730
Total time: 1695
Total time: 1695
Total time: 1695
Total time: 1675
Total time: 1675
Total time: 1650
Total time: 1634
Total time: 1609
Total time: 1609
Total time: 1609
Total time: 1607
Total time: 1607
Total time: 1607
Total time: 1607
Total time: 1607
Total time: 1607
Total time: 1607
Total time: 1607
Total time: 1607
Total time: 1607
Total time: 1607
Total time: 1607
Total time: 1607
Total time: 1607
Total time: 1607
Total time: 1607
Total time: 1607
Total time: 1607
Total time: 1607
Total time: 1607
Total time: 1607
Total time: 1607
Time cost: 9647s

