file_path: experiment/datasets/fjsp.barnes.seti5xx.m17j15c3.txt
Total time: 9237
Total time: 1995
Total time: 1945
Total time: 1908
Total time: 1853
Total time: 1842
Total time: 1842
Total time: 1834
Total time: 1834
Total time: 1834
Total time: 1804
Total time: 1804
Total time: 1801
Total time: 1769
Total time: 1755
Total time: 1755
Total time: 1755
Total time: 1744
Total time: 1742
Total time: 1742
Total time: 1742
Total time: 1733
Total time: 1724
Total time: 1724
Total time: 1724
Total time: 1724
Total time: 1724
Total time: 1701
Total time: 1686
Total time: 1653
Total time: 1639
Total time: 1639
Total time: 1628
Total time: 1624
Total time: 1620
Total time: 1620
Total time: 1606
Total time: 1606
Total time: 1598
Total time: 1598
Total time: 1579
Total time: 1572
Total time: 1572
Total time: 1557
Total time: 1557
Total time: 1555
Total time: 1551
Total time: 1551
Total time: 1536
Total time: 1536
Total time: 1528
Total time: 1524
Total time: 1513
Total time: 1513
Total time: 1513
Total time: 1510
Total time: 1506
Total time: 1501
Total time: 1500
Total time: 1500
Total time: 1500
Total time: 1500
Total time: 1500
Total time: 1500
Total time: 1500
Total time: 1500
Total time: 1500
Total time: 1500
Total time: 1500
Total time: 1500
Total time: 1500
Total time: 1500
Total time: 1500
Total time: 1500
Total time: 1500
Total time: 1500
Total time: 1500
Total time: 1500
Total time: 1500
Total time: 1500
Time cost: 12763s

