file_path: experiment/datasets/fjsp.barnes.seti5xxx.m18j15c4.txt
Total time: 9237
Total time: 1964
Total time: 1892
Total time: 1892
Total time: 1830
Total time: 1781
Total time: 1781
Total time: 1740
Total time: 1740
Total time: 1740
Total time: 1714
Total time: 1714
Total time: 1704
Total time: 1695
Total time: 1687
Total time: 1687
Total time: 1687
Total time: 1665
Total time: 1649
Total time: 1649
Total time: 1649
Total time: 1610
Total time: 1591
Total time: 1591
Total time: 1591
Total time: 1591
Total time: 1591
Total time: 1579
Total time: 1577
Total time: 1557
Total time: 1547
Total time: 1547
Total time: 1531
Total time: 1521
Total time: 1519
Total time: 1519
Total time: 1513
Total time: 1513
Total time: 1505
Total time: 1505
Total time: 1501
Total time: 1495
Total time: 1495
Total time: 1492
Total time: 1492
Total time: 1481
Total time: 1479
Total time: 1479
Total time: 1478
Total time: 1478
Total time: 1478
Total time: 1478
Total time: 1478
Total time: 1478
Total time: 1478
Total time: 1478
Total time: 1478
Total time: 1478
Total time: 1478
Total time: 1478
Total time: 1478
Total time: 1478
Total time: 1478
Total time: 1478
Total time: 1478
Total time: 1478
Total time: 1478
Total time: 1478
Total time: 1478
Total time: 1478
Time cost: 15232s

