file_path: experiment/datasets/fjsp.barnes.seti5xy.m17j15c2.txt
Total time: 9220
Total time: 1693
Total time: 1671
Total time: 1671
Total time: 1655
Total time: 1637
Total time: 1637
Total time: 1628
Total time: 1628
Total time: 1628
Total time: 1606
Total time: 1606
Total time: 1604
Total time: 1590
Total time: 1578
Total time: 1578
Total time: 1578
Total time: 1553
Total time: 1550
Total time: 1550
Total time: 1550
Total time: 1541
Total time: 1541
Total time: 1541
Total time: 1541
Total time: 1541
Total time: 1541
Total time: 1541
Total time: 1541
Total time: 1541
Total time: 1541
Total time: 1541
Total time: 1541
Total time: 1541
Total time: 1541
Total time: 1541
Total time: 1541
Total time: 1541
Total time: 1541
Total time: 1541
Total time: 1541
Total time: 1541
Total time: 1541
Time cost: 9697s

