file_path: experiment/datasets/fjsp.barnes.seti5xyz.m18j15c2.txt
Total time: 8926
Total time: 1815
Total time: 1770
Total time: 1730
Total time: 1718
Total time: 1716
Total time: 1716
Total time: 1664
Total time: 1664
Total time: 1664
Total time: 1612
Total time: 1612
Total time: 1587
Total time: 1576
Total time: 1567
Total time: 1567
Total time: 1567
Total time: 1560
Total time: 1558
Total time: 1558
Total time: 1558
Total time: 1554
Total time: 1547
Total time: 1547
Total time: 1547
Total time: 1547
Total time: 1547
Total time: 1544
Total time: 1543
Total time: 1543
Total time: 1543
Total time: 1543
Total time: 1543
Total time: 1543
Total time: 1543
Total time: 1543
Total time: 1543
Total time: 1543
Total time: 1543
Total time: 1543
Total time: 1543
Total time: 1543
Total time: 1543
Total time: 1543
Total time: 1543
Total time: 1543
Total time: 1543
Total time: 1543
Total time: 1543
Total time: 1543
Time cost: 9494s

