file_path: experiment/datasets/fjsp.dauzere.10a.m8j15c4.txt
Total time: 14244
Total time: 3872
Total time: 3704
Total time: 3704
Total time: 3704
Total time: 3646
Total time: 3608
Total time: 3608
Total time: 3608
Total time: 3608
Total time: 3573
Total time: 3522
Total time: 3522
Total time: 3494
Total time: 3453
Total time: 3425
Total time: 3397
Total time: 3397
Total time: 3384
Total time: 3384
Total time: 3384
Total time: 3384
Total time: 3384
Total time: 3362
Total time: 3350
Total time: 3350
Total time: 3345
Total time: 3345
Total time: 3330
Total time: 3312
Total time: 3301
Total time: 3301
Total time: 3290
Total time: 3290
Total time: 3290
Total time: 3288
Total time: 3285
Total time: 3255
Total time: 3254
Total time: 3253
Total time: 3241
Total time: 3226
Total time: 3226
Total time: 3226
Total time: 3209
Total time: 3209
Total time: 3209
Total time: 3207
Total time: 3207
Total time: 3194
Total time: 3194
Total time: 3188
Total time: 3188
Total time: 3188
Total time: 3187
Total time: 3186
Total time: 3186
Total time: 3174
Total time: 3174
Total time: 3174
Total time: 3174
Total time: 3174
Total time: 3174
Total time: 3174
Total time: 3174
Total time: 3174
Total time: 3174
Total time: 3174
Total time: 3174
Total time: 3174
Total time: 3174
Total time: 3174
Total time: 3174
Total time: 3174
Total time: 3174
Total time: 3174
Total time: 3174
Total time: 3174
Total time: 3174
Time cost: 24592s

