file_path: experiment/datasets/fjsp.hurink.vdata-la20.m10j10c8.txt
Total time: 2604
Total time: 1192
Total time: 1176
Total time: 1160
Total time: 1144
Total time: 1144
Total time: 1144
Total time: 1141
Total time: 1141
Total time: 1108
Total time: 1108
Total time: 1080
Total time: 1080
Total time: 1039
Total time: 1031
Total time: 989
Total time: 989
Total time: 989
Total time: 974
Total time: 974
Total time: 974
Total time: 972
Total time: 969
Total time: 969
Total time: 969
Total time: 966
Total time: 966
Total time: 966
Total time: 966
Total time: 966
Total time: 966
Total time: 966
Total time: 966
Total time: 966
Total time: 966
Total time: 958
Total time: 958
Total time: 958
Total time: 958
Total time: 958
Total time: 950
Total time: 950
Total time: 935
Total time: 935
Total time: 931
Total time: 931
Total time: 931
Total time: 931
Total time: 931
Total time: 931
Total time: 931
Total time: 931
Total time: 931
Total time: 931
Total time: 930
Total time: 930
Total time: 930
Total time: 930
Total time: 930
Total time: 930
Total time: 930
Total time: 930
Total time: 930
Total time: 930
Total time: 930
Total time: 930
Total time: 930
Total time: 930
Total time: 930
Total time: 930
Total time: 930
Total time: 930
Total time: 930
Total time: 930
Total time: 930
Total time: 930
Time cost: 4472s

